,country,x,y
0,الجزائر,-126.0,130.0
1,البحرين,227.0,121.0
2,جزر القمر,197.0,-197.0
3,جيبوتي,184.0,-4.0
4,مصر,83.0,117.0
5,العراق,170.0,171.0
6,الأردن,124.0,149.0
7,الكويت,204.0,141.0
8,لبنان,114.0,172.0
9,ليبيا,-12.0,119.0
10,موريتانيا,-230.0,59.0
11,المغرب,-189.0,156.0
12,عمان,280.0,71.0
13,فلسطين,109.0,156.0
14,قطر,235.0,111.0
15,السعودية,185.0,95.0
16,الصومال,237.0,-28.0
17,السودان,95.0,40.0
18,سوريا,132.0,185.0
19,تونس,-74.0,177.0
20,الإمارات,257.0,97.0
21,اليمن,222.0,32.0
